rank,id,name,section,solves,attempts,url
316,1687,Company Queries I,Tree Algorithms,18373,19326,https://cses.fi/problemset/task/1687
317,1130,Tree Matching,Tree Algorithms,18434,21396,https://cses.fi/problemset/task/1130
318,2431,Digit Queries,Introductory Problems,18465,21405,https://cses.fi/problemset/task/2431
319,1631,Reading Books,Sorting and Searching,18845,20185,https://cses.fi/problemset/task/1631
320,1676,Road Construction,Graph Algorithms,19644,20272,https://cses.fi/problemset/task/1676
321,1164,Room Allocation,Sorting and Searching,20234,23177,https://cses.fi/problemset/task/1164
322,1132,Tree Distances I,Tree Algorithms,20236,21727,https://cses.fi/problemset/task/1132
323,2162,Josephus Problem I,Sorting and Searching,20598,22668,https://cses.fi/problemset/task/2162
324,1140,Projects,Dynamic Programming,20599,22995,https://cses.fi/problemset/task/1140
325,1651,Range Update Queries,Range Queries,21102,22584,https://cses.fi/problemset/task/1651
326,1652,Forest Queries,Range Queries,21736,22526,https://cses.fi/problemset/task/1652
327,1194,Monsters,Graph Algorithms,21908,25737,https://cses.fi/problemset/task/1194
328,1097,Removal Game,Dynamic Programming,22200,29562,https://cses.fi/problemset/task/1097
329,1195,Flight Discount,Graph Algorithms,22389,26139,https://cses.fi/problemset/task/1195
330,1645,Nearest Smaller Values,Sorting and Searching,22966,23756,https://cses.fi/problemset/task/1645
331,2413,Counting Towers,Dynamic Programming,23067,24439,https://cses.fi/problemset/task/2413
332,1679,Course Schedule,Graph Algorithms,23099,24372,https://cses.fi/problemset/task/1679
333,1630,Tasks and Deadlines,Sorting and Searching,23301,23793,https://cses.fi/problemset/task/1630
334,1713,Counting Divisors,Mathematics,23446,26454,https://cses.fi/problemset/task/1713
335,1085,Array Division,Sorting and Searching,23854,25087,https://cses.fi/problemset/task/1085
336,1662,Subarray Divisibility,Sorting and Searching,25123,27340,https://cses.fi/problemset/task/1662
337,1095,Exponentiation,Mathematics,25670,27394,https://cses.fi/problemset/task/1095
338,1649,Dynamic Range Minimum Queries,Range Queries,25715,26310,https://cses.fi/problemset/task/1649
339,1624,Chessboard and Queens,Introductory Problems,26198,26664,https://cses.fi/problemset/task/1624
340,1131,Tree Diameter,Tree Algorithms,26388,27954,https://cses.fi/problemset/task/1131
341,1650,Range Xor Queries,Range Queries,26550,26895,https://cses.fi/problemset/task/1650
342,1163,Traffic Lights,Sorting and Searching,26888,30034,https://cses.fi/problemset/task/1163
343,1647,Static Range Minimum Queries,Range Queries,27407,29339,https://cses.fi/problemset/task/1647
344,1641,Sum of Three Values,Sorting and Searching,27524,30426,https://cses.fi/problemset/task/1641
345,1661,Subarray Sums II,Sorting and Searching,27709,32818,https://cses.fi/problemset/task/1661
346,1672,Shortest Routes II,Graph Algorithms,28221,31583,https://cses.fi/problemset/task/1672
347,1648,Dynamic Range Sum Queries,Range Queries,28403,29634,https://cses.fi/problemset/task/1648
348,1620,Factory Machines,Sorting and Searching,29099,31624,https://cses.fi/problemset/task/1620
349,1093,Two Sets II,Dynamic Programming,29111,31299,https://cses.fi/problemset/task/1093
350,1145,Increasing Subsequence,Dynamic Programming,29789,33422,https://cses.fi/problemset/task/1145
351,1660,Subarray Sums I,Sorting and Searching,30478,32463,https://cses.fi/problemset/task/1660
352,1744,Rectangle Cutting,Dynamic Programming,31242,34086,https://cses.fi/problemset/task/1744
353,1669,Round Trip,Graph Algorithms,31728,34521,https://cses.fi/problemset/task/1669
354,2165,Tower of Hanoi,Introductory Problems,31998,33273,https://cses.fi/problemset/task/2165
355,1674,Subordinates,Tree Algorithms,32393,34669,https://cses.fi/problemset/task/1674
356,2183,Missing Coin Sum,Sorting and Searching,33676,34891,https://cses.fi/problemset/task/2183
357,2205,Gray Code,Introductory Problems,34383,38560,https://cses.fi/problemset/task/2205
358,1141,Playlist,Sorting and Searching,34485,39303,https://cses.fi/problemset/task/1141
359,2216,Collecting Numbers,Sorting and Searching,34577,36956,https://cses.fi/problemset/task/2216
360,1073,Towers,Sorting and Searching,34628,37081,https://cses.fi/problemset/task/1073
361,1671,Shortest Routes I,Graph Algorithms,34850,38381,https://cses.fi/problemset/task/1671
362,1745,Money Sums,Dynamic Programming,37060,38448,https://cses.fi/problemset/task/1745
363,1746,Array Description,Dynamic Programming,37736,41859,https://cses.fi/problemset/task/1746
364,1639,Edit Distance,Dynamic Programming,37951,40034,https://cses.fi/problemset/task/1639
365,1193,Labyrinth,Graph Algorithms,39247,46856,https://cses.fi/problemset/task/1193
366,1646,Static Range Sum Queries,Range Queries,39488,41225,https://cses.fi/problemset/task/1646
367,1668,Building Teams,Graph Algorithms,40062,42213,https://cses.fi/problemset/task/1668
368,1667,Message Route,Graph Algorithms,42473,44154,https://cses.fi/problemset/task/1667
369,1622,Creating Strings,Introductory Problems,43205,44303,https://cses.fi/problemset/task/1622
370,1623,Apple Division,Introductory Problems,43436,49006,https://cses.fi/problemset/task/1623
371,1629,Movie Festival,Sorting and Searching,44494,47086,https://cses.fi/problemset/task/1629
372,1074,Stick Lengths,Sorting and Searching,44562,46573,https://cses.fi/problemset/task/1074
373,1091,Concert Tickets,Sorting and Searching,45281,52587,https://cses.fi/problemset/task/1091
374,1619,Restaurant Customers,Sorting and Searching,46079,49674,https://cses.fi/problemset/task/1619
375,1666,Building Roads,Graph Algorithms,49213,50992,https://cses.fi/problemset/task/1666
376,1643,Maximum Subarray Sum,Sorting and Searching,49886,52059,https://cses.fi/problemset/task/1643
377,1755,Palindrome Reorder,Introductory Problems,51221,54028,https://cses.fi/problemset/task/1755
378,1158,Book Shop,Dynamic Programming,51344,56361,https://cses.fi/problemset/task/1158
379,1640,Sum of Two Values,Sorting and Searching,51787,57857,https://cses.fi/problemset/task/1640
380,1072,Two Knights,Introductory Problems,53732,55402,https://cses.fi/problemset/task/1072
381,1636,Coin Combinations II,Dynamic Programming,54824,61925,https://cses.fi/problemset/task/1636
382,1754,Coin Piles,Introductory Problems,55054,60159,https://cses.fi/problemset/task/1754
383,1090,Ferris Wheel,Sorting and Searching,56509,60829,https://cses.fi/problemset/task/1090
384,1192,Counting Rooms,Graph Algorithms,56532,59348,https://cses.fi/problemset/task/1192
385,1638,Grid Paths I,Dynamic Programming,57320,58921,https://cses.fi/problemset/task/1638
386,1092,Two Sets,Introductory Problems,58441,62798,https://cses.fi/problemset/task/1092
387,1084,Apartments,Sorting and Searching,58874,65201,https://cses.fi/problemset/task/1084
388,1637,Removing Digits,Dynamic Programming,61005,62232,https://cses.fi/problemset/task/1637
389,1618,Trailing Zeros,Introductory Problems,62127,66018,https://cses.fi/problemset/task/1618
390,1635,Coin Combinations I,Dynamic Programming,64846,70094,https://cses.fi/problemset/task/1635
391,1617,Bit Strings,Introductory Problems,66828,70492,https://cses.fi/problemset/task/1617
392,1071,Number Spiral,Introductory Problems,70169,76383,https://cses.fi/problemset/task/1071
393,1634,Minimizing Coins,Dynamic Programming,70956,76158,https://cses.fi/problemset/task/1634
394,1621,Distinct Numbers,Sorting and Searching,78950,85254,https://cses.fi/problemset/task/1621
395,1633,Dice Combinations,Dynamic Programming,82068,86760,https://cses.fi/problemset/task/1633
396,1070,Permutations,Introductory Problems,99253,102221,https://cses.fi/problemset/task/1070
397,1094,Increasing Array,Introductory Problems,112894,116839,https://cses.fi/problemset/task/1094
398,1069,Repetitions,Introductory Problems,119981,124722,https://cses.fi/problemset/task/1069
399,1083,Missing Number,Introductory Problems,137925,144468,https://cses.fi/problemset/task/1083
400,1068,Weird Algorithm,Introductory Problems,159862,167244,https://cses.fi/problemset/task/1068
